corp_code,corp_name,stock_code,modify_date
120508,롯데푸드,002270,20240628
121251,네오퍼플,028090,20240628
127024,삼양엔텍,008720,20240628
503899,사조해표,079660,20240628
110875,대신정보통신,020180,20240522
1336762,라이프시맨틱스,347700,20240905
1494118,노을,376930,20240905
132105,삼양제넥스,003940,20240628
132114,선진지주,014300,20240628
1018167,캐로스,260490,20240628
138376,쎄라텍,041550,20240628
139418,알루코,021570,20240628
1765265,동국제강,460860,20240702
149248,아세아페이퍼텍,009380,20240628
149840,중앙제지,005600,20240628
151252,에스와이,004530,20240628
1251577,휴네시온,290270,20240712
1815764,이베스트스팩6호,478110,20240712
163682,메리츠증권,008560,20240725
154392,에스트라,016570,20240628
409681,아스트,067390,20240813
1671197,SK증권제8호스팩,435870,20240813
1845701,교보16호스팩,482520,20240813
480756,이트론,096040,20240816
102353,경창산업,024910,20240328
120182,NH투자증권,005940,20240328
108490,엔피케이,048830,20240328
150828,진흥기업,002780,20240328
164779,SK하이닉스,000660,20240328
260930,에스엠,041510,20240328
171636,한솔홀딩스,004150,20240328
306454,한국정보인증,053300,20240328
181712,SK,034730,20240328
632304,JW홀딩스,096760,20240328
531829,엠아이텍,179290,20240328
198378,녹십자셀,031390,20240628
238199,로지시스,067730,20240508
1152586,유일로보틱스,388720,20240816
259934,예림당,036000,20240411
1050738,솔트룩스,304100,20240328
1190124,미디어젠,279600,20240328
159412,한국제지,002300,20240628
163044,한일약품공업,003040,20240628
164292,동원데어리푸드,003900,20240628
164362,행남사,008800,20240628
208301,성우몰드,053440,20240628
220446,예일바이오텍,054250,20240628
653112,미래자원엠엘,233190,20240628
414850,효성 ITX,094280,20240719
874195,코썬바이오,204990,20240628
1360875,탑머티리얼,360070,20240725
1658266,하나금융24호기업인수목적,430230,20240903
122205,바른손,018700,20240903
264671,세중,039310,20240408
945457,아이진,185490,20240408
1276594,신한알파리츠,293940,20240408
115931,디오,039840,20240528
604268,에이프로,262260,20240528
1169498,젬,248020,20240405
234449,제이엠피,054790,20240628
126308,삼성E&A,028050,20240416
